id,latitude,longitude,municipality,address,city,state,zip_code
1,38.59729089,-90.54189364,Ballwin,300 Park Drive,St. Louis,MO,63011
2,38.54256229,-90.28909176,Bella Villa,751 Avenue H,St. Louis,MO,63125
3,38.74151895,-90.22576437,Bellefontaine Neighbors,9641 Bellefontaine Road,St. Louis,MO,63137
4,38.70896713,-90.31745003,Bel-Nor,8416 Natural Bridge Road,St. Louis,MO,63121
5,38.71566804,-90.32623591,Bel-Ridge,8920 Natural Bridge Road,St. Louis,MO,63121
6,38.74824406,-90.33447514,Berkeley 1,6120 Madison,St. Louis,MO,63134
7,38.74897478,-90.33497596,Berkeley 2,6140 N Hanley Road,St. Louis,MO,63134
8,38.7009367,-90.29187735,Beverly Hills,7150 Natural Bridge Road,St. Louis,MO,63121
9,38.7947506,-90.26261696,Black Jack,12500 Old Jamestown Road,St. Louis,MO,63033
10,38.71925635,-90.36600678,Breckenridge Hills,9623 St. Charles Rock Road,St. Louis,MO,63114
11,38.61842688,-90.34844504,Brentwood,2348 South Brentwood Boulevard,St. Louis,MO,63144
12,38.75626745,-90.42347742,Bridgeton,12355 Natural Bridge Road,St. Louis,MO,63044
13,38.7646557,-90.31692672,Calverton Park,52 Young Drive,St. Louis,MO,63135
14,38.69634571,-90.33991661,Charlack,8401 Midland Boulevard,St. Louis,MO,63114
15,38.66190342,-90.56366971,Chesterfield,690 Chesterfield Parkway West,St. Louis,MO,63017
16,38.60490831,-90.58713047,Clarkson Valley,15933 Clayton Road,St. Louis,MO,63011
17,38.64984611,-90.34146558,Clayton,10 South Brentwood Boulevard,St. Louis,MO,63105
18,38.70770154,-90.30290904,Cool Valley,100 Signal Drive,St. Louis,MO,63121
19,38.71945332,-90.27428266,Country Club Hills,7422 Eunice Avenue,St. Louis,MO,63136
20,38.55936592,-90.38569543,Crestwood,1 Detjen Drive,St. Louis,MO,63126
21,38.66179036,-90.443226,Creve Coeur,300 North New Ballas Road,St. Louis,MO,63141
22,38.74944799,-90.28180026,Dellwood,1415 Chambers Road,St. Louis,MO,63135
23,38.60332431,-90.4419091,Des Peres,12325 Manchester Road,St. Louis,MO,63131
24,38.73303513,-90.3638459,Edmundson,4440 Holman Lane,St. Louis,MO,63134
25,38.5928963,-90.59225362,Ellisville,37 Weis Avenue,St. Louis,MO,63011
26,38.49536426,-90.62921936,Eureka,120 City Hall Drive,St. Louis,MO,63025
27,38.51775109,-90.45204336,Fenton,625 New Smizer Mill Road,St. Louis,MO,63026
28,38.74499337,-90.30386823,Ferguson,110 Church Street,St. Louis,MO,63135
29,38.71705529,-90.26183924,Flordell Hills,7001 Brandon Avenue,St. Louis,MO,63136
30,38.80713686,-90.3612334,Florissant,315 Howdershell Road,St. Louis,MO,63031
31,38.63307777,-90.41216022,Frontenac,10555 Clayton Road,St. Louis,MO,63131
32,38.58970992,-90.38647565,Glendale,424 North Sappington Road,St. Louis,MO,63122
33,38.54861159,-90.34399783,Grantwood Village,One Missionary Way,St. Louis,MO,63123
34,38.70629459,-90.30322952,Greendale,7700 Natural Bridge Road,St. Louis,MO,63121
35,38.68316018,-90.32347577,Hanley Hills,7713 Utica Drive,St. Louis,MO,63133
36,38.78499519,-90.3552467,Hazelwood,415 Elm Grove Lane,St. Louis,MO,63042
37,38.68527443,-90.28953233,Hillsdale,6428 Jesse Jackson Avenue,St. Louis,MO,63121
38,38.71028485,-90.2666946,Jennings,7005 Florence Avenue,St. Louis,MO,63136
39,38.73771069,-90.32253562,Kinloch,8140 Scott,St. Louis,MO,63140
40,38.58022142,-90.40643518,Kirkwood,139 S. Kirkwood Road,St. Louis,MO,63122
41,38.64080665,-90.3796107,Ladue,9435 Clayton Road,St. Louis,MO,63124
42,38.53679413,-90.33812054,Lakeshire,10000 Puttington Drive,St. Louis,MO,63123
43,38.59351418,-90.32669611,Mackenzie,4400 Shrewsbury Avenue,St. Louis,MO,63119
44,38.59520185,-90.5048459,Manchester,200 Highlands Blvd. Dr.,St. Louis,MO,63011
45,38.61291917,-90.32600283,Maplewood,7601 Manchester Road,St. Louis,MO,63143
46,38.57086346,-90.33760305,Marlborough,7826 Wimbledon Drive,St. Louis,MO,63119
47,38.71455813,-90.43552075,Maryland Heights,11911 Dorsett Road,St. Louis,MO,63043
48,38.7511275,-90.24399078,Moline Acres,2449 Chambers Road,St. Louis,MO,63136
49,38.70629459,-90.30322952,Normandy,7700 Natural Bridge Road,St. Louis,MO,63121
50,38.70600205,-90.28025478,Northwoods,4600 Oakridge Boulevard,St. Louis,MO,63121
51,38.58289279,-90.37908042,Oakland,1320 W. Lockwood Avenue,St. Louis,MO,63122
52,38.67413789,-90.38043126,Olivette,9473 Olive Boulevard,St. Louis,MO,63132
53,38.7002179,-90.35906835,Overland,2410 Goodale Avenue,St. Louis,MO,63114
54,38.27440022,-91.1054967,Pacific,300 Hoven Drive,St. Louis,MO,63079
55,38.68204661,-90.30739183,Pagedale,1420 Ferguson Avenue,St. Louis,MO,63133
56,38.7044589,-90.29349626,Pasadena Hills,3915 Roland Boulevard,St. Louis,MO,63121
57,38.70988086,-90.29806144,Pasadena Park,7615 South Sunset,St. Louis,MO,63121
58,38.69286188,-90.27816339,Pine Lawn,6250 Steve Marve Avenue,St. Louis,MO,63121
59,38.62792123,-90.3187518,Richmond Heights,7447 Dale Avenue,St. Louis,MO,63117
60,38.74009119,-90.21496583,Riverview,9699 Lilac Drive,St. Louis,MO,63137
61,38.60546309,-90.3623925,Rock Hill,320 West Thornton Avenue,St. Louis,MO,63119
62,38.59351418,-90.32669611,Shrewsbury,4400 Shrewsbury Avenue,St. Louis,MO,63119
63,38.72840568,-90.38262593,St. Ann,10405 St. Charles Rock Road,St. Louis,MO,63074
64,38.71151496,-90.35188417,St. John,8944 St. Charles Rock Road,St. Louis,MO,63114
65,38.5453508,-90.40242404,Sunset Hills,3939 South Lindbergh,St. Louis,MO,63127
66,38.71151496,-90.35188417,Sycamore Hills,8944 St. Charles Rock Road,St. Louis,MO,63114
67,38.63201598,-90.45143593,Town and Country,1011 Municipal Center Drive,St. Louis,MO,63131
68,38.6640235,-90.31591854,University City,975 Pennsylvania Avenue,St. Louis,MO,63130
69,38.69371954,-90.28107949,Uplands Park,6390 Natural Bridge Road,St. Louis,MO,63121
70,38.55144034,-90.4874997,Valley Park,320 Benton Street,St. Louis,MO,63088
71,38.69258924,-90.29618745,Velda City,2560 Lucas & Hunt Road,St. Louis,MO,63121
72,38.69312888,-90.28588658,Velda Village Hills,3501 Avondale Avenue,St. Louis,MO,63121
73,38.69556481,-90.33883384,Vinita Park,8374 Midland Boulevard,St. Louis,MO,63114
74,38.68358813,-90.32986256,Vinita Terrace,8027 Page Boulevard,St. Louis,MO,63130
75,38.60313788,-90.38556887,Warson Woods,10015 Manchester Road,St. Louis,MO,63122
76,38.58883088,-90.34656765,Webster Groves,4 Lockwood Aveue,St. Louis,MO,63119
77,38.67538348,-90.28923273,Wellston,1414 Evergreen,St. Louis,MO,63133
78,38.58090325,-90.63089227,Wildwood,16860 Main Street,St. Louis,MO,63040
79,38.592682,-90.52712599,Winchester,109 Lindy Boulevard,St. Louis,MO,63021
80,38.72808378,-90.35789852,Woodson Terrace,4323 Woodson Road,St. Louis,MO,63134
81,38.64893351,-90.33859257,Unincorporated Central St. Louis County,7900 Carondelet Avenue,St. Louis,MO,63105
82,38.627512,-90.58024738,Unincorporated West St. Louis County,82 Clarkson Wilson Centre,St. Louis,MO,63017
83,38.78155359,-90.35911603,Unincorporated North St. Louis County,21 Village Square,St. Louis,MO,63042
84,38.49676468,-90.33667373,Unincorporated South St. Louis County,4544 Lemay Ferry Road,St. Louis,MO,63129
