id,latitude,longitude,address,city,state,zip_code
1,38.27440022,-91.1054967,"300 Hoven Drive","St. Louis","MO","63079"
2,38.49536426,-90.62921936,"120 City Hall Drive","St. Louis","MO","63025"
3,38.49676468,-90.33667373,"4544 Lemay Ferry Road","St. Louis","MO","63129"
4,38.51775109,-90.45204336,"625 New Smizer Mill Road","St. Louis","MO","63026"
5,38.53679413,-90.33812054,"10000 Puttington Drive","St. Louis","MO","63123"
6,38.54256229,-90.28909176,"751 Avenue H","St. Louis","MO","63125"
7,38.5453508,-90.40242404,"3939 South Lindbergh","St. Louis","MO","63127"
8,38.54861159,-90.34399783,"One Missionary Way","St. Louis","MO","63123"
9,38.55144034,-90.4874997,"320 Benton Street","St. Louis","MO","63088"
10,38.55936592,-90.38569543,"1 Detjen Drive","St. Louis","MO","63126"
11,38.57086346,-90.33760305,"7826 Wimbledon Drive","St. Louis","MO","63119"
12,38.58022142,-90.40643518,"139 S. Kirkwood Road","St. Louis","MO","63122"
13,38.58090325,-90.63089227,"16860 Main Street","St. Louis","MO","63040"
14,38.58289279,-90.37908042,"1320 W. Lockwood Avenue","St. Louis","MO","63122"
15,38.58883088,-90.34656765,"4 Lockwood Aveue","St. Louis","MO","63119"
16,38.58970992,-90.38647565,"424 North Sappington Road","St. Louis","MO","63122"
17,38.592682,-90.52712599,"109 Lindy Boulevard","St. Louis","MO","63021"
18,38.5928963,-90.59225362,"37 Weis Avenue","St. Louis","MO","63011"
19,38.59351418,-90.32669611,"4400 Shrewsbury Avenue","St. Louis","MO","63119"
20,38.59520185,-90.5048459,"200 Highlands Blvd. Dr.","St. Louis","MO","63011"
21,38.59729089,-90.54189364,"300 Park Drive","St. Louis","MO","63011"
22,38.60313788,-90.38556887,"10015 Manchester Road","St. Louis","MO","63122"
23,38.60332431,-90.4419091,"12325 Manchester Road","St. Louis","MO","63131"
24,38.60490831,-90.58713047,"15933 Clayton Road","St. Louis","MO","63011"
25,38.60546309,-90.3623925,"320 West Thornton Avenue","St. Louis","MO","63119"
26,38.61291917,-90.32600283,"7601 Manchester Road","St. Louis","MO","63143"
27,38.61842688,-90.34844504,"2348 South Brentwood Boulevard","St. Louis","MO","63144"
28,38.627512,-90.58024738,"82 Clarkson Wilson Centre","St. Louis","MO","63017"
29,38.62792123,-90.3187518,"7447 Dale Avenue","St. Louis","MO","63117"
30,38.63201598,-90.45143593,"1011 Municipal Center Drive","St. Louis","MO","63131"
31,38.63307777,-90.41216022,"10555 Clayton Road","St. Louis","MO","63131"
32,38.64080665,-90.3796107,"9435 Clayton Road","St. Louis","MO","63124"
33,38.64893351,-90.33859257,"7900 Carondelet Avenue","St. Louis","MO","63105"
34,38.64984611,-90.34146558,"10 South Brentwood Boulevard","St. Louis","MO","63105"
35,38.66179036,-90.443226,"300 North New Ballas Road","St. Louis","MO","63141"
36,38.66190342,-90.56366971,"690 Chesterfield Parkway West","St. Louis","MO","63017"
37,38.6640235,-90.31591854,"975 Pennsylvania Avenue","St. Louis","MO","63130"
38,38.67413789,-90.38043126,"9473 Olive Boulevard","St. Louis","MO","63132"
39,38.67538348,-90.28923273,"1414 Evergreen","St. Louis","MO","63133"
40,38.68204661,-90.30739183,"1420 Ferguson Avenue","St. Louis","MO","63133"
41,38.68316018,-90.32347577,"7713 Utica Drive","St. Louis","MO","63133"
42,38.68358813,-90.32986256,"8027 Page Boulevard","St. Louis","MO","63130"
43,38.68527443,-90.28953233,"6428 Jesse Jackson Avenue","St. Louis","MO","63121"
44,38.69258924,-90.29618745,"2560 Lucas & Hunt Road","St. Louis","MO","63121"
45,38.69286188,-90.27816339,"6250 Steve Marve Avenue","St. Louis","MO","63121"
46,38.69312888,-90.28588658,"3501 Avondale Avenue","St. Louis","MO","63121"
47,38.69371954,-90.28107949,"6390 Natural Bridge Road","St. Louis","MO","63121"
48,38.69556481,-90.33883384,"8374 Midland Boulevard","St. Louis","MO","63114"
49,38.69634571,-90.33991661,"8401 Midland Boulevard","St. Louis","MO","63114"
50,38.7002179,-90.35906835,"2410 Goodale Avenue","St. Louis","MO","63114"
51,38.7009367,-90.29187735,"7150 Natural Bridge Road","St. Louis","MO","63121"
52,38.7044589,-90.29349626,"3915 Roland Boulevard","St. Louis","MO","63121"
53,38.70600205,-90.28025478,"4600 Oakridge Boulevard","St. Louis","MO","63121"
54,38.70629459,-90.30322952,"7700 Natural Bridge Road","St. Louis","MO","63121"
55,38.70770154,-90.30290904,"100 Signal Drive","St. Louis","MO","63121"
56,38.70896713,-90.31745003,"8416 Natural Bridge Road","St. Louis","MO","63121"
57,38.70988086,-90.29806144,"7615 South Sunset","St. Louis","MO","63121"
58,38.71028485,-90.2666946,"7005 Florence Avenue","St. Louis","MO","63136"
59,38.71151496,-90.35188417,"8944 St. Charles Rock Road","St. Louis","MO","63114"
60,38.71455813,-90.43552075,"11911 Dorsett Road","St. Louis","MO","63043"
61,38.71566804,-90.32623591,"8920 Natural Bridge Road","St. Louis","MO","63121"
62,38.71705529,-90.26183924,"7001 Brandon Avenue","St. Louis","MO","63136"
63,38.71925635,-90.36600678,"9623 St. Charles Rock Road","St. Louis","MO","63114"
64,38.71945332,-90.27428266,"7422 Eunice Avenue","St. Louis","MO","63136"
65,38.72808378,-90.35789852,"4323 Woodson Road","St. Louis","MO","63134"
66,38.72840568,-90.38262593,"10405 St. Charles Rock Road","St. Louis","MO","63074"
67,38.73303513,-90.3638459,"4440 Holman Lane","St. Louis","MO","63134"
68,38.73771069,-90.32253562,"8140 Scott","St. Louis","MO","63140"
69,38.74009119,-90.21496583,"9699 Lilac Drive","St. Louis","MO","63137"
70,38.74151895,-90.22576437,"9641 Bellefontaine Road","St. Louis","MO","63137"
71,38.74499337,-90.30386823,"110 Church Street","St. Louis","MO","63135"
72,38.74824406,-90.33447514,"6120 Madison","St. Louis","MO","63134"
73,38.74897478,-90.33497596,"6140 N Hanley Road","St. Louis","MO","63134"
74,38.74944799,-90.28180026,"1415 Chambers Road","St. Louis","MO","63135"
75,38.7511275,-90.24399078,"2449 Chambers Road","St. Louis","MO","63136"
76,38.75626745,-90.42347742,"12355 Natural Bridge Road","St. Louis","MO","63044"
77,38.7646557,-90.31692672,"52 Young Drive","St. Louis","MO","63135"
78,38.78155359,-90.35911603,"21 Village Square","St. Louis","MO","63042"
79,38.78499519,-90.3552467,"415 Elm Grove Lane","St. Louis","MO","63042"
80,38.7947506,-90.26261696,"12500 Old Jamestown Road","St. Louis","MO","63033"
81,38.80713686,-90.3612334,"315 Howdershell Road","St. Louis","MO","63031"
